排名,买入信号,卖出信号,止损,止盈,时间止损(天),年化收益,累计收益,胜率,交易次数,平均持有(天),平均收益/笔,最大回撤
1,RSI<30,RSI>70,7%,10%,30,28.88%,214.01%,87.5%,24,20.2,5.03%,-7.21%
2,RSI<30,RSI>75,7%,10%,30,28.00%,204.42%,87.0%,23,21.7,5.12%,-7.21%
3,RSI<30,RSI>70,15%,10%,30,27.14%,195.34%,87.0%,23,20.9,4.98%,-8.20%
4,RSI<30,RSI>70,10%,10%,30,26.53%,188.94%,87.0%,23,20.7,4.89%,-10.19%
5,RSI<30,RSI>80,7%,10%,30,26.47%,188.38%,81.8%,22,24.6,5.13%,-7.21%
6,RSI<30,RSI>75,15%,10%,30,26.27%,186.32%,86.4%,22,22.5,5.07%,-8.20%
7,BOLL<0.2,动量转负5,7%,30%,20,26.24%,185.96%,60.3%,58,9.1,2.01%,-10.65%
8,BOLL<0.2,动量转负5,7%,30%,30,26.00%,183.58%,60.3%,58,9.3,1.99%,-10.65%
9,BOLL<0.2,动量转负5,5%,30%,20,25.87%,182.27%,59.0%,61,8.7,1.90%,-10.29%
10,RSI<30,乖离20>0.05,7%,10%,30,25.70%,180.51%,82.6%,23,21.3,4.75%,-7.21%
11,RSI<30,RSI>75,10%,10%,30,25.66%,180.12%,86.4%,22,22.3,4.98%,-10.19%
12,RSI<30,RSI>70,10%,10%,20,25.21%,175.58%,82.6%,23,16.5,4.63%,-7.69%
13,RSI<30,RSI>70,15%,10%,20,25.21%,175.58%,82.6%,23,16.5,4.63%,-7.69%
14,BOLL<0.2,动量转负5,5%,30%,30,25.17%,175.24%,59.0%,61,8.8,1.85%,-10.29%
15,BOLL<0.2,动量转负5,10%,20%,30,25.12%,174.75%,63.2%,57,9.4,1.95%,-13.12%
16,BOLL<0.2,动量转负5,15%,20%,30,24.93%,172.88%,61.8%,55,9.8,1.99%,-11.96%
17,BOLL<0.2,动量转负5,5%,50%,15,24.91%,172.70%,59.0%,61,8.4,1.83%,-10.29%
18,BOLL<0.2,动量转负5,10%,20%,20,24.82%,171.82%,63.2%,57,9.2,1.93%,-13.12%
19,BOLL<0.2,动量转负5,7%,50%,20,24.80%,171.58%,60.3%,58,9.1,1.90%,-10.65%
20,RSI<30,RSI>70,7%,10%,20,24.79%,171.46%,79.2%,24,16.0,4.38%,-9.07%
21,RSI<30,RSI>80,15%,10%,30,24.77%,171.23%,81.0%,21,25.6,5.08%,-8.20%
22,BOLL<0.2,动量转负5,7%,20%,30,24.68%,170.36%,60.3%,58,9.1,1.88%,-10.65%
23,RSI<30,触20日高,7%,10%,30,24.59%,169.52%,87.0%,23,17.7,4.53%,-7.21%
24,BOLL<0.2,动量转负5,7%,50%,30,24.57%,169.32%,60.3%,58,9.4,1.88%,-10.65%
