排名,买入信号,卖出信号,交易次数,年化收益率,总收益率,胜率,最大回撤,平均持仓天数,平均每笔收益
1,RSI<40,MA5下穿MA60,36,15.7%,107.2%,64%,-12.3%,13,2.23%
2,RSI<45,跌破MA20,51,15.7%,106.8%,57%,-18.6%,13,1.61%
3,RSI<40,5日动量转负,49,15.5%,105.0%,65%,-10.5%,8,1.61%
4,RSI<40,跌破MA60,33,14.5%,96.6%,70%,-12.3%,13,2.26%
5,RSI<40,跌破MA20,33,14.4%,95.5%,67%,-12.4%,14,2.27%
6,KDJ_J<20,MA空头排列初成,60,13.8%,91.1%,48%,-22.4%,12,1.27%
7,RSI<45,5日动量转负,69,13.8%,90.9%,52%,-10.5%,9,1.07%
8,RSI<40,RSI>70,29,13.8%,90.9%,59%,-12.3%,17,2.51%
9,RSI<40,RSI>75,29,13.8%,90.9%,59%,-12.3%,17,2.51%
10,KDJ_J<20,RSI>70,46,13.7%,89.7%,59%,-17.4%,17,1.62%
11,KDJ_J<20,布林上轨+RSI>65,46,13.5%,87.9%,59%,-17.4%,16,1.59%
12,KDJ_J<20,RSI>75,44,13.2%,85.7%,59%,-17.4%,18,1.63%
13,KDJ_J<20,RSI>65,46,13.2%,85.4%,59%,-17.4%,16,1.56%
14,RSI<40,布林上轨+RSI>65,29,13.1%,85.1%,59%,-12.3%,17,2.39%
15,RSI<35,5日动量转负,21,12.8%,82.7%,71%,-4.5%,10,3.03%
16,RSI<35,MA5下穿MA60,17,12.8%,82.2%,71%,-8.7%,16,3.82%
17,RSI<40,RSI>65,29,12.6%,80.8%,59%,-12.3%,17,2.30%
18,RSI<40,放量滞涨,29,12.6%,80.5%,62%,-12.3%,17,2.30%
19,RSI<40,KDJ_J>80,34,12.4%,78.9%,68%,-11.7%,9,1.87%
20,RSI<40,RSI>80,29,12.1%,76.6%,59%,-12.3%,18,2.23%
21,RSI<40,RSI>70+MACD死叉,29,12.1%,76.6%,59%,-12.3%,18,2.23%
22,RSI<40,RSI顶背离,29,11.9%,75.7%,59%,-12.3%,17,2.21%
23,RSI<35,RSI>65,15,11.7%,74.1%,73%,-8.7%,18,4.02%
24,RSI<35,布林上轨+RSI>65,15,11.7%,74.1%,73%,-8.7%,18,4.02%
25,RSI<35,RSI>70,15,11.6%,73.2%,73%,-8.7%,19,3.98%
26,RSI<35,RSI>75,15,11.6%,73.2%,73%,-8.7%,19,3.98%
27,RSI<35,RSI>80,15,11.6%,73.2%,73%,-8.7%,19,3.98%
28,RSI<35,放量滞涨,15,11.6%,73.2%,73%,-8.7%,19,3.98%
29,RSI<35,RSI>70+MACD死叉,15,11.6%,73.2%,73%,-8.7%,19,3.98%
30,RSI<35,KDJ死叉+RSI>60,15,11.6%,73.2%,73%,-8.7%,19,3.98%
31,RSI<35,RSI顶背离,15,11.6%,73.2%,73%,-8.7%,19,3.98%
32,RSI<40,KDJ死叉+RSI>60,29,11.6%,73.1%,59%,-12.3%,17,2.15%
33,RSI<40,触布林上轨,29,11.6%,72.8%,59%,-12.3%,15,2.13%
34,RSI<35,触布林上轨,15,11.5%,72.5%,73%,-8.7%,17,3.95%
35,KDJ_J<20,跌破MA60,54,11.3%,70.8%,57%,-14.5%,13,1.16%
36,RSI<50,跌破MA20,79,11.3%,70.7%,59%,-18.6%,10,0.81%
37,KDJ_J<20,RSI>80,44,11.1%,69.5%,55%,-17.4%,18,1.42%
38,KDJ_J<20,RSI>70+MACD死叉,44,11.1%,69.5%,55%,-17.4%,18,1.42%
39,KDJ_J<20,触布林上轨,47,11.1%,69.2%,57%,-12.3%,15,1.32%
40,价格触布林下轨,跌破MA20,21,11.0%,68.4%,71%,-11.7%,16,2.68%
41,价格触布林下轨,RSI>70,18,10.9%,67.8%,67%,-11.7%,17,3.16%
42,RSI<35,RSI>60,15,10.9%,67.7%,73%,-8.7%,17,3.73%
43,KDJ_J<20,放量滞涨,44,10.7%,66.3%,55%,-17.4%,18,1.37%
44,RSI<40,RSI>60,29,10.6%,65.4%,59%,-12.3%,15,1.97%
45,价格触布林下轨,布林上轨+RSI>65,18,10.5%,64.5%,67%,-11.7%,17,3.04%
46,RSI<35,KDJ死叉,15,10.4%,63.8%,73%,-8.7%,17,3.57%
47,RSI<45,KDJ_J>80,55,10.3%,63.3%,67%,-25.3%,9,1.01%
48,RSI<40,连续3阴,72,10.2%,62.6%,42%,-12.0%,5,0.72%
49,KDJ_J<20,KDJ死叉+RSI>60,45,10.2%,62.2%,53%,-17.4%,18,1.29%
50,RSI<45,RSI>70,42,10.1%,62.0%,52%,-23.6%,16,1.40%
51,价格触布林下轨,RSI>65,18,10.1%,61.6%,67%,-11.7%,17,2.93%
52,RSI<35,跌破MA60,15,9.9%,60.2%,73%,-8.7%,17,3.40%
53,价格触布林下轨,触布林上轨,18,9.9%,60.2%,67%,-11.7%,16,2.87%
54,RSI<35,MA5下穿MA20,15,9.8%,59.3%,67%,-8.7%,18,3.40%
55,KDJ_J<20,RSI>60,47,9.8%,59.2%,57%,-12.3%,14,1.19%
