排名,买入信号,卖出信号,止损,止盈,最长持仓,交易次数,年化收益率,总收益率,胜率,最大回撤,平均持仓天数,平均每笔收益
1,RSI<40,跌破MA60,10%,20%,25日,29,18.5%,133.2%,83%,-10.3%,17,3.12%
2,RSI<40,MA5下穿MA60,10%,20%,25日,32,17.8%,126.9%,72%,-10.3%,17,2.77%
3,RSI<40,跌破MA20,10%,20%,25日,29,17.7%,125.6%,69%,-12.3%,18,3.09%
4,RSI<40,RSI>70,5%,15%,20日,31,17.4%,123.1%,65%,-13.9%,17,2.84%
5,RSI<40,RSI>75,5%,15%,20日,31,17.4%,123.1%,65%,-13.9%,17,2.84%
6,RSI<40,5日动量转负,10%,20%,25日,46,17.1%,119.7%,65%,-10.5%,9,1.86%
7,RSI<45,跌破MA20,7%,25%,30日,46,16.8%,117.2%,61%,-16.4%,17,1.92%
8,RSI<40,MA5下穿MA60,5%,15%,20日,37,16.7%,116.0%,68%,-13.9%,13,2.26%
9,RSI<40,布林上轨+RSI>65,5%,15%,20日,31,16.6%,115.7%,65%,-13.9%,16,2.72%
10,RSI<45,跌破MA20,7%,20%,25日,46,16.5%,114.4%,59%,-16.4%,16,1.86%
11,RSI<40,跌破MA20,7%,20%,25日,32,16.3%,113.0%,66%,-11.0%,16,2.65%
12,RSI<40,5日动量转负,5%,20%,25日,50,16.3%,112.5%,62%,-10.5%,8,1.66%
13,RSI<40,放量滞涨,5%,15%,20日,31,16.1%,111.0%,68%,-13.9%,17,2.65%
14,RSI<50,跌破MA20,7%,25%,30日,72,16.1%,110.7%,64%,-17.0%,13,1.21%
15,RSI<40,RSI>65,5%,15%,20日,31,16.1%,110.6%,65%,-13.9%,16,2.64%
16,RSI<40,跌破MA20,5%,20%,25日,35,15.9%,109.3%,69%,-14.0%,15,2.36%
17,RSI<40,5日动量转负,5%,15%,20日,50,15.9%,109.0%,62%,-10.5%,8,1.61%
18,RSI<50,跌破MA20,10%,30%,30日,70,15.9%,108.6%,66%,-18.1%,13,1.24%
19,RSI<40,5日动量转负,7%,25%,30日,49,15.8%,108.4%,65%,-10.5%,9,1.66%
20,RSI<40,5日动量转负,7%,20%,25日,49,15.8%,108.4%,65%,-10.5%,9,1.66%
21,RSI<45,跌破MA20,10%,30%,30日,46,15.8%,108.2%,61%,-18.1%,17,1.87%
22,RSI<40,MA5下穿MA60,7%,15%,20日,36,15.7%,107.2%,64%,-12.3%,13,2.23%
23,RSI<45,跌破MA20,7%,15%,20日,51,15.7%,106.8%,57%,-18.6%,13,1.61%
24,RSI<45,5日动量转负,10%,20%,25日,68,15.6%,106.6%,56%,-11.8%,9,1.21%
25,RSI<40,RSI>80,5%,15%,20日,31,15.6%,106.5%,65%,-13.9%,17,2.58%
26,RSI<40,RSI>70+MACD死叉,5%,15%,20日,31,15.6%,106.5%,65%,-13.9%,17,2.58%
27,RSI<40,5日动量转负,10%,15%,20日,46,15.6%,106.1%,65%,-10.5%,9,1.68%
28,RSI<40,RSI顶背离,5%,15%,20日,31,15.5%,105.4%,65%,-13.9%,17,2.56%
29,RSI<40,跌破MA60,5%,15%,20日,34,15.5%,105.0%,74%,-13.9%,13,2.29%
30,RSI<40,5日动量转负,7%,15%,20日,49,15.5%,105.0%,65%,-10.5%,8,1.61%
31,RSI<40,5日动量转负,10%,25%,30日,46,15.4%,104.8%,65%,-10.5%,10,1.68%
32,RSI<40,5日动量转负,10%,30%,30日,46,15.4%,104.8%,65%,-10.5%,10,1.68%
33,RSI<40,跌破MA20,5%,15%,20日,35,15.3%,103.8%,71%,-14.0%,14,2.24%
34,RSI<45,5日动量转负,7%,20%,25日,69,15.3%,103.3%,54%,-10.5%,9,1.17%
