序号,买入日期,买入价,卖出日期,卖出价,收益率,持仓天数,卖出原因
1,2022-01-28,21.98,2022-03-11,22.13,0.68%,25,到期
2,2022-03-16,18.79,2022-04-21,16.86,-10.27%,24,止损-10.3%
3,2022-04-22,16.82,2022-05-05,19.69,17.06%,6,跌破MA60
4,2022-08-25,20.78,2022-08-31,20.95,0.82%,4,跌破MA60
5,2022-09-02,20.12,2022-10-17,19.46,-3.28%,25,到期
6,2022-10-31,18.62,2022-11-09,19.99,7.36%,7,跌破MA60
7,2022-12-14,18.93,2023-01-19,20.55,8.56%,25,到期
8,2023-04-24,19.88,2023-06-01,20.59,3.57%,25,到期
9,2023-06-08,20.08,2023-07-17,22.61,12.60%,25,到期
10,2023-08-21,21.18,2023-09-01,21.59,1.94%,9,跌破MA60
11,2023-09-20,20.64,2023-11-02,21.06,2.03%,25,到期
12,2023-12-05,20.06,2024-01-08,20.36,1.50%,23,跌破MA60
13,2024-01-11,19.60,2024-02-23,21.10,7.65%,25,到期
14,2024-04-30,21.87,2024-05-15,21.88,0.05%,8,跌破MA60
15,2024-05-16,21.37,2024-06-05,22.12,3.51%,14,跌破MA60
16,2024-08-06,22.36,2024-08-08,22.47,0.49%,2,跌破MA60
17,2024-08-14,22.19,2024-09-20,24.46,10.23%,25,到期
18,2024-11-25,23.94,2024-12-30,23.97,0.13%,25,到期
19,2025-01-02,23.13,2025-02-14,22.62,-2.20%,25,到期
20,2025-03-10,21.38,2025-04-15,22.45,5.00%,25,到期
21,2025-04-30,21.15,2025-05-09,21.86,3.36%,4,跌破MA60
22,2025-05-27,21.11,2025-06-24,21.60,2.32%,19,跌破MA60
23,2025-07-16,21.14,2025-07-29,21.51,1.75%,9,跌破MA60
24,2025-09-03,20.81,2025-10-16,23.42,12.54%,25,到期
25,2025-11-20,22.33,2025-12-15,22.56,1.03%,17,跌破MA60
26,2026-03-31,25.47,2026-04-02,25.56,0.35%,2,跌破MA60
27,2026-04-03,25.48,2026-04-09,25.44,-0.16%,3,跌破MA60
28,2026-05-28,24.59,2026-07-03,22.89,-6.91%,25,到期
29,2026-07-09,21.68,2026-07-24,23.58,8.76%,11,跌破MA60
