路径编号,5年总收益率,年化收益率,最大回撤,20万终值(万)
1,613.8%,48.2%,-15.2%,142.8
2,399.4%,37.9%,-18.7%,99.9
3,1588.9%,76.0%,-12.2%,337.8
4,549.9%,45.4%,-13.2%,130.0
5,720.1%,52.3%,-9.0%,164.0
6,747.6%,53.3%,-16.5%,169.5
7,605.2%,47.8%,-12.8%,141.0
8,1067.6%,63.5%,-12.9%,233.5
9,1379.1%,71.4%,-10.3%,295.8
10,499.2%,43.1%,-13.3%,119.8
11,914.2%,58.9%,-12.1%,202.8
12,1520.6%,74.6%,-10.5%,324.1
13,815.8%,55.7%,-19.5%,183.2
14,499.0%,43.1%,-16.5%,119.8
15,400.0%,38.0%,-12.3%,100.0
16,447.8%,40.5%,-16.5%,109.6
17,2241.1%,87.9%,-6.9%,468.2
18,335.3%,34.2%,-17.9%,87.1
19,933.8%,59.5%,-12.2%,206.8
20,760.8%,53.8%,-10.3%,172.2
21,1812.4%,80.4%,-10.3%,382.5
22,1346.4%,70.6%,-10.3%,289.3
23,799.7%,55.2%,-16.5%,179.9
24,676.2%,50.7%,-11.9%,155.2
25,726.4%,52.6%,-10.4%,165.3
26,600.3%,47.6%,-13.3%,140.1
27,670.0%,50.4%,-13.2%,154.0
28,1344.1%,70.6%,-10.3%,288.8
29,995.0%,61.4%,-10.3%,219.0
30,915.1%,59.0%,-17.6%,203.0
31,2382.6%,90.1%,-10.3%,496.5
32,224.9%,26.6%,-23.4%,65.0
33,634.7%,49.0%,-16.5%,146.9
34,2029.3%,84.4%,-6.9%,425.9
35,267.8%,29.8%,-23.8%,73.6
36,508.6%,43.5%,-19.1%,121.7
37,639.6%,49.2%,-20.7%,147.9
38,1492.5%,73.9%,-10.3%,318.5
39,1157.8%,65.9%,-10.3%,251.6
40,963.4%,60.5%,-10.3%,212.7
41,691.4%,51.2%,-27.9%,158.3
42,446.3%,40.4%,-16.5%,109.3
43,774.7%,54.3%,-10.3%,174.9
44,1037.3%,62.6%,-16.4%,227.5
45,446.8%,40.5%,-13.2%,109.4
46,678.6%,50.8%,-24.8%,155.7
47,653.5%,49.8%,-15.9%,150.7
48,1824.0%,80.7%,-10.3%,384.8
49,522.9%,44.2%,-10.3%,124.6
