买入日期,卖出日期,买入价,卖出价,收益率,持有天数,卖出原因
2022-02-14,2022-02-28,20.06,22.2,10.67%,10,take_profit
2022-04-21,2022-04-29,16.86,20.1,19.22%,6,take_profit
2022-06-22,2022-07-13,20.2,22.69,12.33%,15,take_profit
2022-09-16,2022-11-04,18.66,20.38,9.22%,30,time_stop
2022-12-13,2023-01-20,19.59,20.45,4.39%,27,signal
2023-02-10,2023-03-24,19.56,21.05,7.62%,30,time_stop
2023-04-27,2023-05-17,19.48,21.28,9.24%,11,signal
2023-06-05,2023-06-29,20.42,21.63,5.93%,16,signal
2023-08-25,2023-10-16,20.97,20.23,-3.53%,30,time_stop
2023-12-05,2024-01-03,20.06,20.81,3.74%,20,signal
2024-01-19,2024-02-19,19.53,21.08,7.94%,15,signal
2024-05-08,2024-06-13,21.32,22.42,5.16%,25,signal
2024-08-08,2024-09-03,22.47,24.08,7.17%,18,signal
2024-11-27,2025-01-09,23.87,22.64,-5.15%,30,time_stop
2025-01-10,2025-03-03,22.39,22.53,0.63%,30,time_stop
2025-03-13,2025-04-25,21.39,21.85,2.15%,30,time_stop
2025-04-29,2025-05-22,21.21,22.04,3.91%,14,signal
2025-06-03,2025-06-23,20.87,21.74,4.17%,14,signal
2025-07-15,2025-07-22,21.24,23.01,8.33%,5,signal
2025-08-11,2025-09-22,21.43,21.73,1.40%,30,time_stop
2025-11-21,2025-12-12,21.79,22.75,4.41%,15,signal
2026-03-26,2026-05-13,26.45,27.45,3.78%,30,time_stop
2026-06-02,2026-06-08,24.14,22.4,-7.21%,4,stop_loss
2026-06-09,2026-07-22,22.58,23.75,5.18%,30,time_stop
