路径,年化收益,5年累计,最大回撤
1,28.35%,248.28%,-20.76%
2,40.42%,445.87%,-11.84%
3,16.86%,117.93%,-18.74%
4,11.59%,73.04%,-22.65%
5,29.12%,258.84%,-17.55%
6,18.72%,135.82%,-19.89%
7,32.16%,303.14%,-15.49%
8,27.05%,231.09%,-19.62%
9,25.75%,214.39%,-23.06%
10,15.26%,103.43%,-26.79%
11,3.08%,16.40%,-26.36%
12,38.15%,403.22%,-12.89%
13,44.74%,535.16%,-8.54%
14,32.47%,307.98%,-19.57%
15,30.28%,275.37%,-30.74%
16,7.70%,44.91%,-21.57%
17,24.85%,203.31%,-18.09%
18,22.71%,178.23%,-18.07%
19,31.02%,286.13%,-16.58%
20,22.98%,181.27%,-18.28%
21,29.21%,260.21%,-15.88%
22,47.67%,602.29%,-26.67%
23,36.30%,370.45%,-21.10%
24,23.46%,186.79%,-16.02%
25,16.79%,117.29%,-22.86%
26,58.97%,915.35%,-11.26%
27,21.23%,161.88%,-11.75%
28,19.92%,148.04%,-19.70%
29,21.79%,167.99%,-22.54%
30,23.41%,186.30%,-10.94%
31,39.58%,429.75%,-9.01%
32,20.59%,154.99%,-22.69%
33,23.98%,192.92%,-13.57%
34,28.38%,248.75%,-22.82%
35,17.90%,127.82%,-20.44%
36,19.02%,138.87%,-15.85%
37,21.63%,166.16%,-13.96%
38,15.37%,104.43%,-25.41%
39,14.50%,96.76%,-18.10%
40,58.32%,894.57%,-11.97%
41,34.47%,339.60%,-15.56%
42,19.24%,141.02%,-22.10%
43,21.68%,166.72%,-23.92%
44,33.02%,316.47%,-9.93%
45,31.72%,296.47%,-18.09%
46,22.51%,175.97%,-11.77%
47,41.60%,469.29%,-12.92%
48,9.74%,59.14%,-26.66%
49,26.70%,226.48%,-13.32%
50,43.23%,502.73%,-13.29%
51,27.25%,233.65%,-14.26%
52,15.86%,108.79%,-35.49%
53,35.12%,350.46%,-20.49%
54,46.37%,571.84%,-8.20%
55,10.10%,61.80%,-25.57%
56,34.26%,336.29%,-11.49%
57,13.90%,91.72%,-15.65%
58,23.22%,184.10%,-12.18%
59,67.16%,1205.21%,-7.84%
60,29.52%,264.45%,-21.83%
61,31.10%,287.28%,-16.04%
62,29.03%,257.62%,-15.76%
63,20.04%,149.25%,-15.79%
64,49.86%,655.84%,-14.54%
65,24.95%,204.62%,-12.19%
66,43.21%,502.41%,-21.26%
67,17.96%,128.36%,-18.43%
68,10.64%,65.79%,-21.06%
69,31.88%,298.96%,-12.50%
70,22.06%,170.89%,-36.20%
71,20.22%,151.09%,-21.47%
72,16.50%,114.60%,-14.10%
73,21.93%,169.50%,-16.59%
74,32.75%,312.21%,-16.67%
75,28.19%,246.09%,-15.68%
76,9.94%,60.62%,-20.98%
77,31.31%,290.38%,-22.04%
78,17.72%,126.07%,-19.13%
79,29.34%,261.95%,-12.61%
80,35.45%,356.01%,-17.07%
81,12.24%,78.10%,-21.79%
82,23.77%,190.45%,-12.90%
83,24.28%,196.44%,-13.38%
84,18.09%,129.61%,-34.43%
85,28.42%,249.28%,-14.81%
86,19.49%,143.55%,-18.58%
87,18.86%,137.28%,-24.98%
88,35.46%,356.14%,-13.73%
